"test sample 
","true label 
","predicted label 
","probability class 0 
","probability class 1 
","explanation_1 
","keywords_1 
","score_1 
","id_1 
","similarity_1 
","weight_1 
","explanation_2 
","keywords_2 
","score_2 
","id_2 
","similarity_2 
","weight_2 
","explanation_3 
","keywords_3 
","score_3 
","id_3 
","similarity_3 
","weight_3 
"
"this insufferable movie is meant to make you think about existential suffering . instead, it'll only put you to sleep.
","0
","0
","0.930
","0.070
","a bland animated sequel that hardly seems worth the effort.
","hardly
","1.020
","19
","0.698
","1.461
",". . . a bland, pretentious mess.
","bland, pretentious
","0.750
","13
","0.594
","1.262
","[l]ame and unnecessary.
","unnecessary
","0.710
","3
","0.584
","1.216
"
"the film's greatest asset is how much it's not just another connect - the - dots, spy - on - the - run picture.
","1
","1
","0.033
","0.967
","a moving story of determination and the human spirit.
","story, determination, spirit
","1.019
","18
","0.641
","1.589
",". . . bright, intelligent, and humanly funny film.
","film, funny, bright, intelligent
","0.982
","4
","0.624
","1.574
","a very well - made, funny and entertaining picture.
","funny, entertaining, well, made
","0.977
","6
","0.612
","1.597
"
"between them, de niro and murphy make showtime the most savory and hilarious guilty pleasure of many a recent movie season.
","1
","1
","0.075
","0.925
","a very well - made, funny and entertaining picture.
","funny, entertaining, well, made
","1.041
","6
","0.652
","1.597
",". . . bright, intelligent, and humanly funny film.
","film, funny, bright, intelligent
","0.975
","4
","0.620
","1.574
","a funny, triumphant, and moving documentary.
","documentary, triumphant, moving
","0.839
","14
","0.566
","1.481
"
"a moving and weighty depiction of one family's attempts to heal after the death of a child.
","1
","1
","0.216
","0.784
","a moving story of determination and the human spirit.
","story, determination, spirit
","0.644
","18
","0.405
","1.589
","a funny, triumphant, and moving documentary.
","documentary, triumphant, moving
","0.405
","14
","0.273
","1.481
","a very well - made, funny and entertaining picture.
","funny, entertaining, well, made
","0.277
","6
","0.174
","1.597
"
"sometimes we feel as if the film careens from one colorful event to another without respite, but sometimes it must have seemed to frida kahlo as if her life did, too.
","1
","1
","0.348
","0.652
","unfortunately, the picture failed to capture me . i found it slow, drab, and bordering on melodramatic.
","failed, to, drab, slow
","0.276
","7
","0.269
","1.026
","there is no pleasure in watching a child suffer . just embarrassment and a vague sense of shame.
","no
","0.198
","11
","0.165
","1.200
","do not see this film.
","not
","0.194
","5
","0.210
","0.924
"
"lame sweet home leaves no southern stereotype unturned.
","0
","0
","0.643
","0.357
",". . . unbearably lame.
","lame
","0.466
","17
","0.390
","1.196
",". . . a bland, pretentious mess.
","bland, pretentious
","0.414
","13
","0.328
","1.262
","[l]ame and unnecessary.
","unnecessary
","0.387
","3
","0.319
","1.216
"
"a shambles of a movie--visually unattractive, unbearably loud and utterly silly . . . its hilarity is completely unintentional.
","0
","0
","0.968
","0.032
","a bland animated sequel that hardly seems worth the effort.
","hardly
","1.280
","19
","0.876
","1.461
",". . . a bland, pretentious mess.
","bland, pretentious
","1.105
","13
","0.876
","1.262
","[l]ame and unnecessary.
","unnecessary
","1.078
","3
","0.887
","1.216
"
"kurys never shows why, of all the period's volatile romantic lives, sand and musset are worth particular attention.
","0
","0
","0.717
","0.283
","a bland animated sequel that hardly seems worth the effort.
","hardly
","0.454
","19
","0.311
","1.461
","[l]ame and unnecessary.
","unnecessary
","0.364
","3
","0.299
","1.216
",". . . a bland, pretentious mess.
","bland, pretentious
","0.341
","13
","0.270
","1.262
"
"it takes you somewhere you're not likely to have seen before, but beneath the exotic surface (and exotic dancing) it's surprisingly old - fashioned.
","0
","1
","0.498
","0.502
","unfortunately, the picture failed to capture me . i found it slow, drab, and bordering on melodramatic.
","failed, to, drab, slow
","0.373
","7
","0.364
","1.026
","do not see this film.
","not
","0.321
","5
","0.347
","0.924
","there is no pleasure in watching a child suffer . just embarrassment and a vague sense of shame.
","no
","0.266
","11
","0.222
","1.200
"
"those 24-and - unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking.
","0
","0
","0.673
","0.327
","a bland animated sequel that hardly seems worth the effort.
","hardly
","0.234
","19
","0.160
","1.461
",". . . unbearably lame.
","lame
","0.108
","17
","0.090
","1.196
","the leads we are given here are simply too bland to be interesting.
","bland
","0.095
","1
","0.097
","0.982
"
